"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","590","Проведение успешного платёжа на форме поставщика МУП Мытищи","","Sun Jan 19 14:45:49 GMT 2025","broken","Sun Jan 19 14:45:50 GMT 2025","","ProviderPayPageTest","ProviderPayPageTest","createSuccesPaymentMytishhi"
"","40","Проведение успешного платежа на форме поставщика ENTER (ООО «ЭНТЕР»), Интернет","","Sun Jan 19 14:45:50 GMT 2025","broken","Sun Jan 19 14:45:50 GMT 2025","","ProviderPayPageTest","ProviderPayPageTest","createSuccesPaymentEnterInt"
"","3","Проведение успешного платежа на форме поставщика «Омская энергосбытовая компания» (ООО «ОЭК»)","","Sun Jan 19 14:45:50 GMT 2025","passed","Sun Jan 19 14:45:50 GMT 2025","","ProviderPayPageTest","ProviderPayPageTest","createSuccesPaymentOek"
"","0","Поиск начислений по лс","","Sun Jan 19 14:45:50 GMT 2025","skipped","Sun Jan 19 14:45:50 GMT 2025","","ProviderPayPageTest","ProviderPayPageTest","setLs"
