"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","Проведение успешного платежа на форме поставщика ENTER (ООО «ЭНТЕР»), Интернет","","Mon Jan 20 17:48:09 GMT 2025","broken","Mon Jan 20 17:48:09 GMT 2025","","ProviderPayPageTest","ProviderPayPageTest","createSuccesPaymentEnterInt"
"","612","Проведение успешного платёжа на форме поставщика МУП Мытищи","","Mon Jan 20 17:48:09 GMT 2025","broken","Mon Jan 20 17:48:09 GMT 2025","","ProviderPayPageTest","ProviderPayPageTest","createSuccesPaymentMytishhi"
"","0","Поиск начислений по лс","","Mon Jan 20 17:48:09 GMT 2025","skipped","Mon Jan 20 17:48:09 GMT 2025","","ProviderPayPageTest","ProviderPayPageTest","setLs"
"","2","Проведение успешного платежа на форме поставщика «Омская энергосбытовая компания» (ООО «ОЭК»)","","Mon Jan 20 17:48:09 GMT 2025","passed","Mon Jan 20 17:48:09 GMT 2025","","ProviderPayPageTest","ProviderPayPageTest","createSuccesPaymentOek"
