"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Поиск начислений по лс","","Mon Jan 20 19:10:44 GMT 2025","skipped","Mon Jan 20 19:10:44 GMT 2025","","ProviderPayPageTest","ProviderPayPageTest","setLs"
"","0","Проведение успешного платежа на форме поставщика ENTER (ООО «ЭНТЕР»), Интернет","","Mon Jan 20 19:10:44 GMT 2025","skipped","Mon Jan 20 19:10:44 GMT 2025","","ProviderPayPageTest","ProviderPayPageTest","createSuccesPaymentEnterInt"
"","1","Проведение успешного платёжа на форме поставщика МУП Мытищи","","Mon Jan 20 19:10:44 GMT 2025","skipped","Mon Jan 20 19:10:44 GMT 2025","","ProviderPayPageTest","ProviderPayPageTest","createSuccesPaymentMytishhi"
"","634","Проведение успешного платежа на форме поставщика «Омская энергосбытовая компания» (ООО «ОЭК»)","","Mon Jan 20 19:10:44 GMT 2025","broken","Mon Jan 20 19:10:45 GMT 2025","","ProviderPayPageTest","ProviderPayPageTest","createSuccesPaymentOek"
